Model,Intel® Celeron® Processor 3965Y ,Intel® Celeron® Processor G3930E ,Intel® Celeron® Processor G3930TE ,Intel® Celeron® Processor N4100 ,Intel® Celeron® Processor N4000 ,Intel® Celeron® J4105 Processor ,Intel® Celeron® J4005 Processor ,Intel® Celeron® G4900 Processor ,Intel® Celeron® G4920 Processor ,Intel® Celeron® G4900T Processor ,Intel® Celeron® Processor G4930T ,Intel® Celeron® Processor G4930 ,Intel® Celeron® Processor G4950 ,Intel® Celeron® Processor 3867U ,Intel® Celeron® Processor 4205U ,Intel® Celeron® Processor 4305U ,Intel® Celeron® Processor 4305UE ,Intel® Celeron® Processor N3350E ,Intel® Celeron® Processor J3455E ,Intel® Celeron® Processor J3355E ,Intel® Celeron® Processor G4932E ,Intel® Celeron® Processor G4930E ,Intel® Celeron® Processor J4125 ,Intel® Celeron® Processor J4025 ,Intel® Celeron® Processor N4120 ,Intel® Celeron® Processor N4020 ,Intel® Celeron® Processor 5305U ,Intel® Celeron® Processor 5205U ,Intel® Celeron® Processor G5900 ,Intel® Celeron® Processor G5900T ,Intel® Celeron® Processor G5920 ,Intel® Celeron® Processor G5905T ,Intel® Celeron® Processor G5925 ,Intel® Celeron® Processor G5905 ,Intel® Celeron® Processor G5900TE ,Intel® Celeron® Processor G5900E ,Intel® Celeron® Processor N6211 ,Intel® Celeron® Processor J6413 ,Intel® Celeron® 6305E Processor ,Intel® Celeron® Processor N4505 ,Intel® Celeron® Processor N4500 ,Intel® Celeron® Processor N5105 ,Intel® Celeron® Processor N5100 ,Intel® Celeron® Processor J6412 ,Intel® Celeron® 6600HE Processor ,Intel® Celeron® Processor 7305E ,Intel® Celeron® Processor 7305L ,Intel® Celeron® D Processor 365 ,Intel® Celeron® M Processor 520 ,Intel® Celeron® M Processor 530 ,Intel® Celeron® Processor 420 ,Intel® Celeron® Processor 430 ,Intel® Celeron® Processor 440 ,Intel® Celeron® Processor 1.83 GHz, 1M Cache, 667 MHz FSB ,Intel® Celeron® Processor 540 ,Intel® Celeron® M Processor ULV 523 ,Intel® Celeron® Processor 530 ,Intel® Celeron® Processor 220 ,Intel® Celeron® Processor 560 ,Intel® Celeron® Processor E1200 ,Intel® Celeron® Processor E1600 ,Intel® Celeron® Processor E1500 ,Intel® Celeron® Processor E1400 ,Intel® Celeron® Processor 450 ,Intel® Celeron® Processor 570 ,Intel® Celeron® Processor 575 ,Intel® Celeron® Processor 585 ,Intel® Celeron® M Processor ULV 723 ,Intel® Celeron® M Processor ULV 722 ,Intel® Celeron® Processor T1700 ,Intel® Celeron® M Processor ULV 743 ,Intel® Celeron® Processor T3100 ,Intel® Celeron® Processor T1600 ,Intel® Celeron® Processor ULV 573 ,Intel® Celeron® Processor 900 ,Intel® Celeron® Processor T3500 ,Intel® Celeron® Processor E3200 ,Intel® Celeron® Processor E3300 ,Intel® Celeron® Processor E3400 ,Intel® Celeron® Processor E3500 ,Intel® Celeron® Processor SU2300 ,Intel® Celeron® Processor T3300 ,Intel® Celeron® Processor P4500 ,Intel® Celeron® Processor P1053 ,Intel® Celeron® Processor P4505 ,Intel® Celeron® Processor U3400 ,Intel® Celeron® Processor U3600 ,Intel® Celeron® Processor U3405 ,Intel® Celeron® Processor P4600 ,Intel® Celeron® Processor G530 ,Intel® Celeron® Processor G530T ,Intel® Celeron® Processor G540 ,Intel® Celeron® Processor G540T ,Intel® Celeron® Processor G550 ,Intel® Celeron® Processor G550T ,Intel® Celeron® Processor ULV 763 ,Intel® Celeron® Processor 925 ,Intel® Celeron® Processor B810 ,Intel® Celeron® Processor B810E ,Intel® Celeron® Processor 847E ,Intel® Celeron® Processor 827E ,Intel® Celeron® Processor 847 ,Intel® Celeron® Processor G440 ,Intel® Celeron® Processor B710 ,Intel® Celeron® Processor B800 ,Intel® Celeron® Processor 787 ,Intel® Celeron® Processor 857 ,Intel® Celeron® Processor B840 ,Intel® Celeron® Processor 807UE ,Intel® Celeron® Processor G460 ,Intel® Celeron® Processor 797 ,Intel® Celeron® Processor 867 ,Intel® Celeron® Processor B815 ,Intel® Celeron® Processor B720 ,Intel® Celeron® Processor 877 ,Intel® Celeron® Processor B820 ,Intel® Celeron® Processor 807 ,Intel® Celeron® Processor 725C ,Intel® Celeron® Processor G555 ,Intel® Celeron® Processor 887 ,Intel® Celeron® Processor G465 ,Intel® Celeron® Processor G1610 ,Intel® Celeron® Processor G1620 ,Intel® Celeron® Processor G1610T ,Intel® Celeron® Processor B830 ,Intel® Celeron® Processor 1020M ,Intel® Celeron® Processor 1037U ,Intel® Celeron® Processor 1000M ,Intel® Celeron® Processor 1007U ,Intel® Celeron® Processor 1020E ,Intel® Celeron® Processor 1047UE ,Intel® Celeron® Processor 927UE ,Intel® Celeron® Processor G470 ,Intel® Celeron® Processor 1019Y ,Intel® Celeron® Processor 1017U ,Intel® Celeron® Processor 1005M ,Intel® Celeron® Processor 2955U ,Intel® Celeron® Processor 2000E ,Intel® Celeron® Processor 2002E ,Intel® Celeron® Processor G1630 ,Intel® Celeron® Processor G1620T ,Intel® Celeron® Processor J1850 ,Intel® Celeron® Processor J1750 ,Intel® Celeron® Processor 2980U ,Intel® Celeron® Processor N2910 ,Intel® Celeron® Processor N2810 ,Intel® Celeron® Processor N2805 ,Intel® Celeron® Processor 2950M ,Intel® Celeron® Processor J1800 ,Intel® Celeron® Processor J1900 ,Intel® Celeron® Processor 2957U ,Intel® Celeron® Processor 2961Y ,Intel® Celeron® Processor 2981U ,Intel® Celeron® Processor G1830 ,Intel® Celeron® Processor G1820 ,Intel® Celeron® Processor G1820T ,Intel® Celeron® Processor G1820TE ,Intel® Celeron® Processor N2806 ,Intel® Celeron® Processor N2815 ,Intel® Celeron® Processor N2820 ,Intel® Celeron® Processor N2920 ,Intel® Celeron® Processor G1850 ,Intel® Celeron® Processor G1840 ,Intel® Celeron® Processor G1840T ,Intel® Celeron® Processor 2970M ,Intel® Celeron® Processor N2830 ,Intel® Celeron® Processor N2807 ,Intel® Celeron® Processor N2930 ,Intel® Celeron® Processor N2808 ,Intel® Celeron® Processor N2840 ,Intel® Celeron® Processor N2940 ,Intel® Celeron® Processor 3205U ,Intel® Celeron® Processor 3215U ,Intel® Celeron® Processor 3755U ,Intel® Celeron® Processor 3765U ,Intel® Celeron® Processor N3050 ,Intel® Celeron® Processor N3150 ,Intel® Celeron® Processor N3000 ,Intel® Celeron® Processor G3902E ,Intel® Celeron® Processor G3900TE ,Intel® Celeron® Processor G3900E ,Intel® Celeron® Processor G3920 ,Intel® Celeron® Processor G3900T ,Intel® Celeron® Processor G3900 ,Intel® Celeron® Processor J3160 ,Intel® Celeron® Processor J3060 ,Intel® Celeron® Processor N3010 ,Intel® Celeron® Processor N3160 ,Intel® Celeron® Processor N3060 ,Intel® Celeron® Processor 3855U ,Intel® Celeron® Processor 3955U ,Intel® Celeron® Processor J3455 ,Intel® Celeron® Processor N3450 ,Intel® Celeron® Processor J3355 ,Intel® Celeron® Processor N3350 ,Intel® Celeron® Processor 3965U ,Intel® Celeron® Processor 3865U ,Intel® Celeron® Processor G3950 ,Intel® Celeron® Processor G3930 ,Intel® Celeron® Processor G3930T 

Cache,2 MB Intel® Smart Cache,2 MB,2 MB,4 MB,4 MB,4 MB,4 MB,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB,2 MB,2 MB,2 MB,2 MB,4 MB,4 MB,4 MB,4 MB,2 MB,2 MB,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,1.5 MB L2 Cache,1.5 MB L2 Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,1.5 MB L2 Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 MB Intel® Smart Cache,2 MB L3 Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,,,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,1.5 MB Intel® Smart Cache,,1 MB Intel® Smart Cache,1.5 MB L3 Cache,2 MB L3 Cache,1.5 MB L3 Cache,2 MB L3 Cache,2 MB L3 Cache,1 MB Intel® Smart Cache,1.5 MB Intel® Smart Cache,1.5 MB L3 Cache,2 MB L3 Cache,2 MB L3 Cache,1.5 MB L3 Cache,2 MB L3 Cache,2 MB,1.5 MB L3 Cache,1.5 MB L3 Cache,2 MB Intel® Smart Cache,2 MB L3 Cache,1.5 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB L3 Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,1 MB Intel® Smart Cache,1.5 MB Intel® Smart Cache,2 MB,2 MB,2 MB,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB L2 Cache,1 MB L2 Cache,2 MB Intel® Smart Cache,2 MB,1 MB,1 MB,2 MB Intel® Smart Cache,1 MB L2 Cache,2 MB L2 Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,1 MB,1 MB,1 MB,2 MB,2 MB,2 MB,2 MB,2 MB Intel® Smart Cache,1 MB,1 MB,2 MB,1 MB L2 Cache,1 MB L2 Cache,2 MB L2 Cache,2 MB,2 MB,2 MB,2 MB,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB,2 MB L2 Cache,2 MB,2 MB L2 Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB,2 MB,2 MB
Bus Speed,4 GT/s,,,,,,,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,,,,8 GT/s,8 GT/s,,,,,4 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,,,4 GT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5 GT/s,0,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,,,,,,,5 GT/s,,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,,5 GT/s,,,,5 GT/s,,,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,,,,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,,,,,,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,,,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,,,,,,4 GT/s,4 GT/s,,,,,4 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s
TDP,6 W,54 W,35 W,6 W,6 W,10 W,10 W,54 W,54 W,35 W,35 W,54 W,54 W,15 W,15 W,15 W,15 W,6 W,10 W,10 W,25 W,35 W,10 W,10 W,6 W,6 W,15 W,15 W,58 W,35 W,58 W,35 W,58 W,58 W,35 W,58 W,6.5 W,10 W,15 W,10 W,6 W,10 W,6 W,10 W,35 W,,15 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 W,30 W,35 W,18 W,18 W,18 W,35 W,65 W,35 W,65 W,35 W,65 W,35 W,,,35 W,35 W,17 W,17 W,,35 W,35 W,35 W,17 W,17 W,35 W,10 W,35 W,17 W,17 W,35 W,35 W,17 W,35 W,17 W,10 W,65 W,17 W,35 W,55 W,55 W,35 W,35 W,35 W,17 W,35 W,17 W,35 W,17 W,17 W,35 W,10 W,17 W,35 W,15 W,37 W,25 W,55 W,35 W,10 W,10 W,15 W,7.5 W,7.5 W,4.3 W,37 W,10 W,10 W,15 W,11.5 W,15 W,53 W,53 W,35 W,35 W,4.5 W,7.5 W,7.5 W,7.5 W,53 W,53 W,35 W,37 W,7.5 W,4.3 W,7.5 W,4.5 W,7.5 W,7.5 W,15 W,15 W,15 W,15 W,6 W,6 W,4 W,25 W,35 W,35 W,51 W,35 W,51 W,6 W,6 W,4 W,6 W,6 W,15 W,15 W,10 W,6 W,10 W,6 W,15 W,15 W,51 W,51 W,35 W
Configurable TDP-down,4.5 W,,,,,,,,,25 W,25 W,,,12.5 W,12.5 W,12.5 W,,,,,,,,,,,12.5 W,12.5 W,,25 W,,25 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 W,10 W,10 W,10 W,,,,,,,,,,,,,,,10 W,10 W,,,,,10 W,10 W,,,
Burst Frequency,,,,2.40 GHz,2.60 GHz,2.50 GHz,2.70 GHz,,,,,,,,,,,,,,,,2.70 GHz,2.90 GHz,2.60 GHz,2.80 GHz,,,,,,,,,,,3.00 GHz,3.00 GHz,,2.90 GHz,2.80 GHz,2.90 GHz,2.80 GHz,2.60 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58 GHz,2.42 GHz,,,,,,,,2.00 GHz,2.13 GHz,2.39 GHz,2.00 GHz,,,,,2.41 GHz,2.16 GHz,2.16 GHz,2.25 GHz,2.58 GHz,2.25 GHz,,,,,2.16 GHz,2.08 GHz,2.08 GHz,,,,,,,2.24 GHz,2.48 GHz,2.24 GHz,2.24 GHz,2.48 GHz,,,2.30 GHz,2.20 GHz,2.50 GHz,2.40 GHz,,,,,
Scenario Design Power (SDP),,,,4.8 W,4.8 W,,,,,,,,,,,,,,,,,,,,4.8 W,4.8 W,,,,,,,,,,,,,,,4.8 W,,4.8 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 W,,,,,,,,,,,4.5 W,4.5 W,2.5 W,,,,,6 W,,,,,,2.5 W,4.5 W,4.5 W,4.5 W,,,,,4.5 W,2.5 W,4.5 W,3 W,4.5 W,4.5 W,,,,,4 W,4 W,3 W,,,,,,,,,3 W,4 W,4 W,,,,4 W,,4 W,,,,,
Configurable TDP-down Frequency,,,,,,,,,,1.80 GHz,1.80 GHz,,,800 MHz,800 MHz,800 MHz,,,,,,,,,,,800 MHz,800 MHz,,2.00 GHz,,2.00 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600 MHz,600 MHz,600 MHz,600 MHz,,,,,,,,,,,,,,,,,,,,,,,,,1.80 GHz
Max Turbo Frequency,,,,,,,,,,,,,,,,,,2.40 GHz,2.30 GHz,2.50 GHz,1.90 GHz,2.40 GHz,,,,,,,,,,,,,,,,,,,,,,,,,1.10 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Performance-cores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Efficiency-cores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Processor Base Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 W,15 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Assured Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 W,12 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single P-core Turbo Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Assured Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of QPI Links,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
